Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,2,1
9,17,1
9,22,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,2
11,8,1
11,9,1
11,10,1
11,11,2
11,12,1
11,15,2
11,16,2
12,8,1
12,11,1
12,12,1
12,14,2
12,19,2
12,23,1
13,0,1
13,16,1
13,19,2
13,20,3
13,21,1
14,5,1
14,7,1
14,9,1
14,20,1
16,15,1
16,16,1
16,18,3
17,1,1
17,13,1
17,14,1
18,10,1
18,13,1
18,14,1
18,16,1
18,19,1
18,22,1
19,11,1
19,21,1
19,23,2
20,16,1
20,19,1
20,23,1
21,1,2
21,10,1
21,17,1
21,20,1
22,11,1
22,12,1
22,13,2
22,14,2
22,15,1
22,17,2
22,18,1
22,19,1
22,21,1
23,1,2
23,8,1
23,9,1
23,10,2
23,11,3
23,13,2
23,14,2
23,15,1
23,16,1
23,20,1
23,22,2
24,0,1
24,8,3
24,9,3
24,10,1
24,11,4
24,12,3
24,13,1
24,14,5
24,15,1
24,16,2
24,17,1
24,20,1
24,21,1
24,22,2
24,23,1
25,0,2
25,2,1
25,5,1
25,7,1
25,9,1
25,10,3
25,11,2
25,12,2
25,13,4
25,14,3
25,16,1
25,17,1
26,1,1
26,4,1
26,8,4
26,9,4
26,10,5
26,11,5
26,12,1
26,13,2
26,14,2
26,15,1
26,16,2
26,17,2
26,18,1
26,19,1
26,20,1
26,21,2
26,22,2
27,0,1
27,6,1
27,12,1
27,14,1
