Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,14,1
10,10,1
10,12,2
10,15,1
11,9,1
11,11,1
11,14,1
11,17,1
11,18,1
11,20,1
13,11,1
13,14,1
15,13,1
15,14,1
15,18,1
16,8,1
16,13,2
16,14,2
16,16,1
16,17,1
16,18,1
16,23,1
17,0,3
17,7,1
17,9,1
17,13,1
17,14,2
17,16,1
17,18,1
18,9,1
18,10,1
18,12,1
18,13,2
18,14,1
18,19,1
18,21,1
18,23,1
19,0,1
19,5,1
19,10,1
19,11,2
19,12,3
19,13,1
19,14,2
19,16,1
19,18,1
19,19,1
19,21,1
19,23,1
20,11,1
20,20,1
21,11,1
22,9,1
22,10,3
22,12,1
22,13,1
22,14,1
22,19,1
22,23,1
23,1,1
23,2,1
23,8,1
23,9,1
23,10,1
23,11,2
23,13,1
23,14,1
23,15,2
23,19,1
23,21,1
24,8,1
24,10,3
24,11,1
24,14,4
24,15,5
24,18,1
24,20,2
24,22,1
24,23,3
25,0,1
25,3,1
25,4,2
25,5,1
25,7,1
25,8,4
25,9,2
25,10,2
25,11,2
25,13,1
25,15,2
25,19,1
26,5,1
26,7,1
26,9,2
26,10,3
26,11,1
26,12,1
26,13,1
26,15,1
26,16,1
26,18,2
26,19,1
26,20,1
26,22,1
26,23,2
27,2,1
27,12,1
27,13,1
27,14,1
27,16,1
27,18,2
27,21,2
27,22,1
