Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,13,1
8,14,1
10,12,1
10,13,2
10,14,1
10,19,1
11,16,2
11,17,2
11,20,1
12,13,2
12,14,1
12,16,1
12,21,1
12,22,1
12,23,2
13,0,1
13,13,1
13,15,1
13,23,1
14,16,1
15,12,1
15,13,1
15,20,1
16,9,3
16,13,2
16,16,1
17,0,1
17,8,2
17,14,1
17,15,1
18,8,2
18,10,3
18,13,3
18,14,1
18,15,1
18,16,1
18,17,2
18,19,1
18,22,2
19,1,1
19,7,1
19,9,2
19,11,1
19,12,1
19,13,1
19,16,1
19,19,2
19,22,2
20,22,2
20,23,2
21,6,1
21,10,1
21,12,1
21,16,1
21,20,1
22,9,2
22,10,3
22,11,3
22,12,1
22,13,2
22,14,3
22,15,6
22,16,1
22,20,1
23,0,1
23,8,1
23,9,2
23,10,5
23,11,1
23,12,1
23,13,3
23,14,2
23,15,4
23,16,3
23,17,1
23,20,1
23,21,1
24,8,1
24,9,3
24,10,4
24,11,4
24,12,4
24,13,6
24,14,2
24,15,3
24,16,2
24,17,1
24,20,3
24,22,1
24,23,3
25,0,1
25,3,4
25,5,1
25,7,1
25,9,5
25,10,5
25,11,1
25,12,4
25,14,3
25,15,1
25,16,1
25,17,1
25,19,1
26,5,1
26,7,1
26,8,2
26,9,2
26,10,4
26,11,6
26,13,4
26,14,1
26,16,1
26,17,2
26,18,3
26,19,1
26,22,1
26,23,2
27,3,1
27,9,1
27,12,1
27,13,1
27,22,1
