Day,Hour,Value
-1,-1,1
6,2,1
8,17,1
10,13,1
10,18,1
11,12,1
11,15,2
11,16,1
12,13,1
14,20,1
15,20,1
16,9,3
16,10,1
16,15,1
16,16,1
16,19,1
16,23,1
17,6,1
17,8,1
17,9,3
17,11,2
17,13,1
17,15,2
17,16,1
19,12,2
19,13,1
19,14,1
19,19,1
19,23,2
20,1,1
20,3,1
20,11,1
20,15,1
21,3,1
21,12,1
22,9,1
22,10,2
22,12,2
22,13,1
22,14,3
22,15,2
22,18,1
22,21,1
22,22,1
23,8,1
23,11,2
23,12,3
23,13,2
23,14,2
23,15,1
23,17,1
23,21,1
24,9,3
24,10,4
24,11,2
24,12,2
24,13,2
24,14,2
24,16,1
24,22,1
25,0,1
25,9,1
25,10,2
25,11,1
25,12,1
25,19,1
25,20,1
26,0,1
26,2,1
26,3,1
26,9,1
26,10,4
26,12,2
26,13,1
26,14,4
26,15,2
26,16,1
26,18,1
26,19,1
26,20,2
26,23,1
27,6,1
27,13,2
27,21,1
27,22,2
27,23,1
