Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,13,1
8,14,1
10,17,1
11,8,2
11,10,1
11,18,1
13,18,1
13,19,1
13,22,1
13,23,1
14,3,1
15,14,1
15,15,1
15,16,1
15,21,1
16,9,1
16,11,1
16,13,2
16,15,1
17,5,1
17,9,1
17,11,1
17,13,2
17,14,1
18,7,1
18,9,1
18,11,1
18,13,1
18,15,2
18,17,2
19,8,1
19,9,6
19,10,2
19,11,2
19,12,1
19,14,2
19,16,1
19,19,1
19,22,1
20,0,1
20,1,2
21,16,1
22,8,1
22,9,2
22,10,1
22,11,1
22,12,2
22,13,4
22,14,3
22,15,2
22,18,1
22,21,1
23,8,1
23,10,1
23,12,1
23,14,1
23,15,1
23,16,2
23,21,1
23,22,1
24,8,1
24,11,1
24,13,1
24,14,1
24,15,1
24,16,1
24,19,1
25,0,1
25,1,2
25,8,1
25,10,1
25,12,1
25,13,1
25,19,1
25,21,1
26,9,1
26,13,3
26,14,1
27,0,1
27,1,2
27,4,1
27,5,1
27,7,2
27,9,2
27,23,1
