-1,-1,1
5,16,1
6,2,1
7,18,1
9,1,1
9,5,1
12,17,2
12,18,1
12,19,1
12,20,1
13,10,1
14,4,1
15,12,2
15,13,3
15,18,1
15,19,1
15,23,1
16,9,1
16,10,1
16,15,1
16,18,1
17,8,1
17,9,1
17,13,1
17,14,1
17,21,1
18,7,1
18,8,2
18,9,1
18,11,2
18,12,1
18,13,2
18,14,1
18,15,1
18,16,3
18,18,1
18,20,1
18,21,1
19,8,1
19,9,2
19,10,1
19,11,2
19,13,1
19,17,1
19,21,1
19,23,1
20,14,1
20,22,2
21,0,1
21,3,1
21,22,1
22,8,1
22,9,1
22,10,4
22,11,2
22,12,1
22,13,1
22,14,1
22,17,1
23,4,1
23,7,1
23,8,1
23,12,2
23,13,3
23,15,2
23,17,3
23,18,1
23,19,1
23,21,2
24,1,1
24,3,2
24,8,2
24,9,2
24,10,1
24,11,1
24,13,2
24,15,2
24,19,1
24,22,1
25,8,1
25,13,3
25,14,1
25,16,2
25,21,1
26,8,5
26,9,2
26,10,1
26,11,1
26,13,1
26,15,1
26,18,1
27,10,1
27,13,1
27,19,1
