Day,Hour,Value
-1,-1,1
6,2,1
8,17,1
10,13,1
10,18,1
11,12,1
11,15,2
11,16,1
12,12,1
12,20,1
15,1,1
15,10,3
15,13,1
15,14,3
15,16,1
15,17,1
15,18,3
16,10,1
16,11,1
16,13,1
16,15,2
16,16,1
16,22,1
17,14,1
17,18,1
17,19,1
17,21,1
18,7,1
18,8,3
18,9,2
18,11,2
18,12,1
18,14,2
18,15,1
18,18,1
18,19,1
18,20,3
19,1,1
19,8,3
19,9,1
19,11,2
19,12,2
19,13,3
19,15,2
19,17,1
19,21,1
19,22,1
20,16,1
20,17,1
20,19,1
20,23,1
21,1,1
21,18,1
22,1,1
22,3,1
22,9,1
22,10,3
22,11,1
22,13,2
22,15,1
22,16,2
22,17,2
23,3,1
23,9,2
23,11,2
23,13,1
23,14,1
23,15,3
23,22,2
23,23,1
24,3,1
24,7,1
24,8,4
24,9,3
24,10,5
24,11,9
24,12,4
24,13,2
24,14,3
24,15,1
24,16,2
24,20,1
24,21,1
25,0,2
25,3,1
25,7,1
25,9,2
25,10,1
25,11,3
25,12,4
25,13,2
25,14,5
25,15,2
25,16,4
25,18,1
26,0,1
26,1,1
26,2,1
26,4,1
26,6,2
26,8,3
26,9,1
26,10,3
26,11,1
26,12,2
26,13,1
26,15,2
26,17,1
26,21,2
26,22,1
27,0,1
27,1,1
27,16,1
27,19,2
27,20,1
27,21,3
27,23,1
