Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,13,1
8,14,2
10,13,1
10,14,2
10,16,1
11,12,1
11,15,2
12,12,1
12,14,2
12,15,2
12,16,1
13,10,1
13,13,2
13,14,1
13,15,1
14,1,1
14,23,1
15,1,1
15,9,1
15,10,3
15,13,3
15,14,1
15,15,3
15,19,1
15,22,1
16,1,1
16,5,1
16,10,3
16,11,1
16,12,1
16,13,3
16,14,2
16,15,1
16,16,2
16,17,1
16,18,1
16,21,2
16,23,2
17,2,1
17,6,1
17,7,1
17,9,2
17,10,5
17,11,3
17,12,1
17,13,5
17,14,2
17,16,2
17,17,1
17,21,1
17,22,1
18,8,2
18,9,3
18,10,7
18,11,2
18,12,1
18,13,1
18,14,2
18,15,1
18,16,1
18,20,2
18,21,1
19,5,1
19,8,1
19,9,1
19,11,6
19,12,1
19,13,2
19,16,1
19,23,2
20,0,1
20,1,1
20,7,1
20,8,1
20,10,1
20,13,1
20,16,1
20,21,1
20,22,4
20,23,1
21,0,1
21,1,1
21,9,1
21,22,1
21,23,1
22,2,1
22,9,2
22,10,2
22,11,3
22,12,4
22,13,2
22,16,3
22,17,1
22,18,1
22,19,4
23,0,1
23,6,1
23,7,1
23,9,4
23,10,5
23,11,7
23,12,2
23,13,5
23,14,3
23,16,1
23,18,1
23,19,2
23,20,1
23,23,1
24,8,1
24,9,2
24,10,2
24,13,1
24,14,1
24,17,1
24,21,1
25,0,1
25,1,1
25,8,1
25,9,1
25,10,1
25,11,2
25,12,1
25,16,1
25,21,1
26,0,1
26,10,3
26,11,4
26,14,1
26,15,2
26,18,1
26,20,1
27,1,2
27,10,1
27,13,1
27,14,1
27,18,2
