Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,14,1
10,10,1
10,12,2
10,15,1
11,9,1
11,11,1
11,14,1
11,17,1
11,18,1
11,20,1
13,11,1
13,14,1
15,13,1
15,14,1
15,18,1
16,8,1
16,13,2
16,14,2
16,16,1
16,17,1
16,18,1
16,23,1
17,0,1
17,1,2
17,9,1
17,10,1
17,14,1
17,15,1
17,16,1
18,5,1
18,7,1
18,10,1
18,11,1
18,13,1
18,14,1
18,15,1
18,16,1
18,19,1
18,21,1
18,22,1
19,0,1
19,7,1
19,11,1
19,12,1
19,13,4
19,14,1
19,16,1
19,17,1
19,21,1
19,23,1
20,0,1
20,2,1
20,11,1
20,23,1
21,5,1
22,10,1
22,11,1
22,12,1
22,13,2
22,14,1
22,15,1
22,18,1
23,8,1
23,9,1
23,10,2
23,11,2
23,12,1
23,13,3
23,14,1
23,15,1
23,16,1
23,21,1
23,22,1
24,8,1
24,10,3
24,11,1
24,14,2
24,15,2
24,16,3
24,17,2
25,0,3
25,5,1
25,7,1
25,8,3
25,9,3
25,10,3
25,11,4
25,12,2
25,13,3
25,15,1
25,19,1
25,20,1
26,0,1
26,8,2
26,9,2
26,10,3
26,12,1
26,13,1
26,15,1
26,16,1
26,19,1
26,21,1
26,22,1
26,23,2
27,3,1
27,6,1
27,8,1
27,18,1
27,22,2
