-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,14,1
10,10,1
10,12,2
10,15,1
11,9,1
11,11,1
11,14,1
11,17,1
11,18,1
11,20,1
13,11,1
13,14,1
15,13,1
15,14,1
15,18,1
16,8,1
16,13,2
16,14,2
16,16,1
16,17,1
16,18,1
16,23,1
17,0,3
17,9,1
17,10,1
17,12,1
17,13,2
17,14,2
17,16,1
17,17,1
18,1,1
18,7,1
18,8,2
18,9,1
18,10,2
18,11,2
18,14,1
18,16,2
18,17,2
18,18,2
18,20,1
18,21,1
18,23,1
19,3,1
19,4,1
19,8,1
19,9,1
19,11,1
19,12,1
19,13,1
19,17,2
19,20,2
19,22,1
19,23,1
20,6,1
20,23,1
21,0,1
21,14,2
21,17,1
21,18,1
22,8,1
22,9,2
22,11,1
22,13,1
22,14,2
22,15,1
22,16,1
22,19,1
23,1,1
23,2,1
23,4,1
23,8,1
23,12,3
23,13,6
23,14,1
23,15,3
23,16,3
23,17,1
23,19,3
23,20,1
23,21,1
23,22,1
23,23,2
24,0,1
24,7,1
24,8,2
24,9,3
24,11,1
24,12,1
24,13,2
24,14,2
24,16,1
24,17,1
24,22,1
24,23,1
25,1,1
25,8,1
25,9,1
25,10,1
25,11,1
25,12,1
25,13,1
25,14,3
25,17,1
25,19,1
25,20,1
26,6,1
26,9,6
26,10,3
26,11,1
26,12,2
26,13,1
26,14,1
26,16,1
26,17,1
26,18,1
26,23,1
27,1,1
27,13,1
