Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,2,1
9,17,1
9,22,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,2
11,8,1
11,9,1
11,10,1
11,11,2
11,12,1
11,15,2
11,16,2
12,8,1
12,11,1
12,12,1
12,14,2
12,19,2
12,23,1
13,0,1
13,16,1
13,19,2
13,20,3
13,21,1
15,16,1
16,8,1
16,14,1
16,20,1
18,12,1
18,13,1
18,18,2
18,19,1
19,9,1
19,10,1
19,11,1
19,14,1
19,16,1
19,17,1
19,19,1
19,22,1
20,0,1
22,10,1
22,14,1
22,15,2
23,8,1
23,9,1
23,10,1
23,11,3
23,12,1
23,13,1
23,19,1
23,22,2
24,0,1
24,8,1
24,9,1
24,10,3
24,11,2
24,13,1
24,14,2
24,15,2
24,17,1
24,19,1
25,1,3
25,9,1
25,10,1
25,12,2
25,13,1
25,15,1
25,19,1
25,23,2
26,1,1
26,8,2
26,9,1
26,10,2
26,11,2
26,13,2
26,15,2
26,16,2
26,17,1
26,22,1
26,23,1
27,0,1
27,1,2
27,9,1
27,17,1
