Day,Hour,Value
-1,-1,1
5,16,1
6,2,1
7,18,1
9,1,1
9,5,1
12,17,2
12,18,1
12,19,1
12,20,1
13,10,1
14,6,1
15,13,1
15,14,1
15,15,2
15,16,1
16,5,1
16,9,1
16,11,1
16,13,1
16,15,1
16,23,1
17,1,1
17,9,1
17,10,1
17,11,1
17,12,1
17,16,1
17,20,1
17,21,1
18,1,1
18,9,1
18,11,2
18,12,1
18,13,3
18,15,4
18,16,1
18,18,1
18,19,1
19,9,2
19,10,1
19,11,2
19,12,1
19,14,1
19,17,1
19,21,1
19,23,1
20,13,1
20,22,1
20,23,1
21,0,1
21,7,1
21,19,1
22,9,2
22,10,3
22,11,3
22,13,2
22,15,1
22,19,1
23,9,2
23,10,1
23,12,2
23,13,3
23,14,1
23,15,1
23,16,4
23,17,1
23,19,2
23,21,1
23,22,2
24,6,1
24,8,3
24,9,1
24,10,1
24,11,2
24,12,2
24,13,1
24,14,1
24,15,1
25,8,2
25,9,2
25,10,1
25,11,1
25,12,1
25,13,3
25,14,4
25,16,1
25,20,1
26,4,1
26,9,1
26,10,1
26,14,2
26,15,1
26,16,2
26,21,1
26,23,4
27,3,1
27,17,1
27,18,1
27,19,1
27,22,1
