Day,Hour,Value
-1,-1,1
5,16,1
6,2,1
7,18,1
9,1,1
12,18,1
12,19,1
12,20,2
12,22,1
13,15,1
13,23,1
14,1,1
14,2,1
14,4,1
15,13,2
15,15,1
15,17,1
15,19,1
16,8,1
16,11,1
16,23,1
17,7,1
17,9,1
17,11,1
17,12,2
17,17,1
18,2,1
18,6,1
18,8,1
18,9,1
18,10,1
18,11,2
18,12,1
18,13,1
18,14,2
18,21,1
18,22,1
19,5,1
19,8,1
19,9,1
19,11,1
19,13,1
19,15,1
19,23,1
20,16,1
20,20,1
20,23,1
21,13,1
22,8,1
22,9,1
22,10,2
22,11,2
22,12,1
22,14,1
22,16,1
22,22,1
23,11,2
23,12,1
23,15,2
23,16,1
23,17,2
23,20,1
23,22,1
24,2,1
24,5,1
24,6,1
24,7,1
24,8,1
24,9,2
24,10,3
24,11,2
24,12,1
24,13,1
24,14,1
24,19,1
25,1,1
25,8,1
25,9,1
25,11,1
25,16,1
25,18,1
25,20,1
25,21,1
26,9,1
26,10,1
26,11,3
26,12,4
26,14,1
26,15,1
26,22,1
27,4,1
