Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,2,1
9,17,1
9,22,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,2
11,8,1
11,9,1
11,10,1
11,11,2
11,12,1
11,15,2
11,16,2
12,8,1
12,11,1
12,12,1
12,14,2
12,19,2
12,23,1
13,0,1
13,16,1
13,19,2
13,20,3
13,21,1
14,5,1
14,7,1
14,9,1
14,20,1
16,14,1
16,15,1
16,17,1
16,18,2
17,2,1
17,12,1
17,14,1
18,10,1
18,12,1
18,13,1
18,14,1
18,16,1
18,19,1
19,11,1
19,15,1
19,19,2
20,12,1
20,18,1
21,0,1
21,1,2
21,4,1
21,9,1
21,16,1
22,10,1
22,11,3
22,12,1
22,13,2
22,14,3
22,15,2
22,17,2
22,18,1
22,19,1
22,21,1
22,23,1
23,6,1
23,8,2
23,10,1
23,11,1
23,13,3
23,14,1
23,15,1
23,16,2
23,17,1
23,19,1
23,20,1
23,22,1
24,4,1
24,8,3
24,9,4
24,10,3
24,12,1
24,13,5
24,14,1
24,16,2
24,17,1
24,22,1
24,23,3
25,0,1
25,1,2
25,5,1
25,7,1
25,8,1
25,9,1
25,10,5
25,11,2
25,12,4
25,13,3
25,15,1
25,16,1
25,22,1
26,2,1
26,6,2
26,7,1
26,8,3
26,9,2
26,10,5
26,11,2
26,12,2
26,13,2
26,14,1
26,15,2
26,16,1
26,18,1
26,19,2
26,20,1
26,21,1
26,22,1
26,23,1
27,0,1
27,1,2
27,7,2
27,12,1
27,21,1
