Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,2,1
9,17,1
9,22,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,2
11,8,1
11,9,1
11,10,1
11,11,2
11,12,1
11,15,2
11,16,2
12,8,1
12,11,1
12,12,1
12,14,2
12,19,2
12,23,1
13,0,1
13,16,1
13,19,2
13,20,3
13,21,1
14,5,1
14,7,1
14,9,1
14,20,1
16,16,1
16,17,1
16,22,1
16,23,2
17,13,1
17,21,1
18,9,1
18,15,1
18,20,1
19,2,1
19,8,1
19,9,1
19,10,1
20,7,1
22,8,1
22,10,2
22,14,1
22,15,1
22,16,1
22,20,1
22,21,1
23,2,1
23,5,1
23,8,1
23,13,1
23,14,2
23,15,2
23,16,1
23,17,1
23,18,1
23,19,1
23,21,1
23,22,1
24,3,1
24,9,2
24,10,2
24,11,1
24,12,1
24,14,3
24,16,1
24,19,1
25,0,2
25,3,1
25,8,1
25,11,1
25,12,2
25,13,1
25,14,1
25,15,1
25,17,1
25,22,1
26,4,1
26,6,1
26,8,1
26,9,2
26,10,5
26,12,1
26,13,2
26,14,2
26,15,1
26,17,1
26,22,2
26,23,1
27,4,1
27,12,1
27,13,2
27,17,1
27,20,2
