Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,13,1
8,14,1
10,12,1
10,13,2
10,14,1
10,19,1
11,16,2
11,17,2
11,20,1
12,13,2
12,14,1
12,16,1
12,21,1
12,22,1
12,23,2
13,0,1
13,13,1
13,15,1
13,23,1
14,16,1
15,12,1
15,13,1
15,20,1
16,9,3
16,13,2
16,16,1
17,0,1
17,8,2
17,14,1
17,15,1
18,8,2
18,10,3
18,13,3
18,14,1
18,15,1
18,16,1
18,17,2
18,19,1
18,22,2
19,1,1
19,7,1
19,9,2
19,11,1
19,12,1
19,13,1
19,16,1
19,19,2
19,22,2
20,22,2
20,23,2
21,6,1
21,11,1
21,13,1
21,18,1
22,1,1
22,9,1
22,10,1
22,11,6
22,12,1
22,13,2
22,14,5
22,15,4
22,16,1
22,19,1
22,21,1
23,1,1
23,6,2
23,9,5
23,10,1
23,11,2
23,12,1
23,13,3
23,14,3
23,15,4
23,16,1
23,17,2
23,21,1
24,7,1
24,8,2
24,9,4
24,10,3
24,11,5
24,12,4
24,13,3
24,14,4
24,15,1
24,16,2
24,17,2
24,18,1
24,20,4
24,22,1
24,23,3
25,0,3
25,6,3
25,8,3
25,9,5
25,10,3
25,11,1
25,12,2
25,13,2
25,14,2
25,15,1
25,18,1
25,19,1
25,21,1
26,2,1
26,8,3
26,9,4
26,10,5
26,11,4
26,12,1
26,13,1
26,14,2
26,15,4
26,17,1
26,19,2
26,22,1
27,0,2
27,1,1
27,10,1
27,15,1
27,16,1
27,17,1
27,23,2
