-1,-1,1
5,16,1
6,2,1
7,18,1
9,1,1
12,18,1
12,19,1
12,20,2
12,22,1
13,15,1
13,23,1
14,1,1
14,2,1
14,4,1
15,13,2
15,16,1
15,19,1
15,22,1
16,9,1
16,10,1
16,20,1
17,6,1
17,9,1
17,10,1
17,11,2
17,17,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,13,3
18,14,1
18,15,1
18,16,1
19,2,1
19,6,1
19,9,1
19,10,2
19,13,1
19,20,1
20,0,1
20,23,1
21,1,2
21,12,1
22,6,1
22,12,1
22,15,1
22,17,1
22,20,1
22,21,1
23,10,2
23,11,1
23,12,2
23,13,1
23,15,1
23,17,2
23,18,1
23,19,1
23,21,1
24,8,1
24,9,1
24,10,3
24,13,1
24,14,3
24,15,1
24,17,2
24,18,1
24,23,1
25,3,1
25,9,1
25,11,2
25,12,1
25,13,2
25,14,2
25,15,1
25,18,1
26,8,1
26,9,1
26,10,1
26,11,1
26,12,1
26,13,2
26,14,2
26,16,1
26,18,3
26,19,1
27,0,1
27,1,1
27,4,1
27,13,1
27,20,2
