Day,Hour,Value
-1,-1,1
5,14,2
5,15,1
5,16,1
8,14,1
9,2,1
9,17,1
9,22,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,2
11,8,1
11,9,1
11,10,1
11,11,2
11,12,1
11,15,2
11,16,2
12,8,1
12,11,1
12,12,1
12,14,2
12,19,2
12,23,1
13,0,1
13,16,1
13,19,2
13,20,3
13,21,1
14,5,1
14,7,1
14,9,1
14,20,1
15,13,5
15,14,1
15,15,1
15,16,1
16,2,1
16,8,1
16,9,2
16,10,1
16,11,1
16,15,1
16,16,1
16,17,2
16,21,1
16,22,1
16,23,1
17,0,2
17,1,1
17,3,1
17,6,1
17,13,1
17,14,3
17,15,1
17,16,1
17,17,1
17,20,1
17,21,1
18,2,1
18,6,1
18,9,1
18,10,2
18,11,2
18,12,2
18,14,2
18,15,1
18,18,1
18,19,1
18,23,2
19,7,1
19,9,1
19,10,1
19,11,5
19,12,1
19,13,3
19,14,1
19,15,1
19,16,1
19,17,2
19,18,1
19,19,2
19,23,2
20,0,3
20,1,1
20,9,1
20,21,1
20,22,1
20,23,1
21,5,1
21,16,1
21,17,2
21,20,1
22,1,1
22,2,1
22,8,2
22,9,1
22,10,2
22,11,4
22,12,1
22,13,8
22,14,2
22,15,1
22,16,2
22,17,2
22,19,1
22,20,2
22,22,1
23,1,1
23,8,3
23,9,2
23,10,1
23,11,3
23,12,2
23,13,4
23,14,4
23,15,3
23,16,3
23,17,2
23,18,1
23,21,1
23,22,1
23,23,1
24,9,3
24,10,3
24,11,4
24,12,4
24,13,10
24,14,5
24,15,6
24,16,2
24,19,1
24,21,1
24,23,2
25,0,1
25,5,1
25,6,1
25,8,1
25,9,2
25,10,4
25,11,6
25,12,4
25,13,3
25,14,5
25,15,4
25,16,2
25,18,1
26,0,1
26,2,1
26,7,2
26,8,2
26,9,2
26,10,6
26,11,5
26,12,1
26,13,4
26,14,3
26,15,1
26,16,1
26,17,3
26,18,1
26,19,2
26,20,1
26,23,1
27,0,1
27,1,1
27,3,2
27,5,1
27,18,2
